path_hash	rel_path	input_path	output_path
47d6124a6467e7aee5ab805c072459e0	m84046_231007_211119_s1.hifi_reads.bc2068.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20231126_UW_HiFi/HG00514/m84046_231007_211119_s1.hifi_reads.bc2068.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20231126_UW_HiFi/HG00514/m84046_231007_211119_s1.hifi_reads.bc2068.fastq.gz
b215d64ca9fde378bf01d2a2af28618d	m84046_231113_224421_s1.hifi_reads.bc2033.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20231126_UW_HiFi/HG00732/m84046_231113_224421_s1.hifi_reads.bc2033.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20231126_UW_HiFi/HG00732/m84046_231113_224421_s1.hifi_reads.bc2033.fastq.gz
30410f8c16af1f76b9ea43c0061f2c65	m84046_231117_203108_s3.hifi_reads.bc2033.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20231126_UW_HiFi/HG00732/m84046_231117_203108_s3.hifi_reads.bc2033.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20231126_UW_HiFi/HG00732/m84046_231117_203108_s3.hifi_reads.bc2033.fastq.gz
33108994b76e0b88877c85941672ba50	m84039_230308_011313_s3.hifi_reads.bc2039.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20231126_UW_HiFi/HG00733/m84039_230308_011313_s3.hifi_reads.bc2039.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20231126_UW_HiFi/HG00733/m84039_230308_011313_s3.hifi_reads.bc2039.fastq.gz
bd427079fc24bc66949d743e947260fa	m84046_230324_222350_s1.hifi_reads.bc2039.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20231126_UW_HiFi/HG00733/m84046_230324_222350_s1.hifi_reads.bc2039.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20231126_UW_HiFi/HG00733/m84046_230324_222350_s1.hifi_reads.bc2039.fastq.gz
97e3c5630adf3b50f1d086d18703cddc	m84039_230304_003049_s1.hifi_reads.bc2039.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20231126_UW_HiFi/HG00733/m84039_230304_003049_s1.hifi_reads.bc2039.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20231126_UW_HiFi/HG00733/m84039_230304_003049_s1.hifi_reads.bc2039.fastq.gz
45d77b05240c4d1bf8ee9935da3decde	m84039_230307_013359_s4.hifi_reads.bc2039.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20231126_UW_HiFi/HG00733/m84039_230307_013359_s4.hifi_reads.bc2039.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20231126_UW_HiFi/HG00733/m84039_230307_013359_s4.hifi_reads.bc2039.fastq.gz
8015d6bbd2dd027858b13f959903c09d	m84046_231113_224421_s1.hifi_reads.bc2078.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20231126_UW_HiFi/NA19240/m84046_231113_224421_s1.hifi_reads.bc2078.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20231126_UW_HiFi/NA19240/m84046_231113_224421_s1.hifi_reads.bc2078.fastq.gz
f358c4f6f4e0ed30f8c35b1d595305e3	m84046_231117_203108_s3.hifi_reads.bc2078.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20231126_UW_HiFi/NA19240/m84046_231117_203108_s3.hifi_reads.bc2078.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20231126_UW_HiFi/NA19240/m84046_231117_203108_s3.hifi_reads.bc2078.fastq.gz
d69c7a0968a5464c6e737a75dc5457ca	m84046_231007_214225_s2.hifi_reads.bc2078.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20231126_UW_HiFi/NA19240/m84046_231007_214225_s2.hifi_reads.bc2078.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20231126_UW_HiFi/NA19240/m84046_231007_214225_s2.hifi_reads.bc2078.fastq.gz
