path_hash	rel_path	input_path	output_path
cc69c6e9f25e6c3ffd8b66ab6d8203df	m54329U_210225_020106.ccs.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM19320/m54329U_210225_020106.ccs.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM19320/m54329U_210225_020106.ccs.fastq.gz
55374b9a834ffdc91df4a39474de0632	m54329U_201024_070735.ccs.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM19320/m54329U_201024_070735.ccs.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM19320/m54329U_201024_070735.ccs.fastq.gz
a03d3ebe954f8cb53da33ee60fa4bec2	m54329U_201019_191314.ccs.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM19320/m54329U_201019_191314.ccs.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM19320/m54329U_201019_191314.ccs.fastq.gz
bb37b199327591418236a7c00e54901c	m54329U_201023_003851.ccs.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM19320/m54329U_201023_003851.ccs.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM19320/m54329U_201023_003851.ccs.fastq.gz
64bc6b0b311892f579f59db4826481fe	m64076_201004_002419.ccs.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM20355/m64076_201004_002419.ccs.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM20355/m64076_201004_002419.ccs.fastq.gz
5aaf2e30a82348fb66a6281e367e760c	m54329U_210220_055130.ccs.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM20355/m54329U_210220_055130.ccs.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM20355/m54329U_210220_055130.ccs.fastq.gz
891ab282dfe5e0dac590f3bae1729a01	m54329U_210124_022104.ccs.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM20355/m54329U_210124_022104.ccs.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM20355/m54329U_210124_022104.ccs.fastq.gz
946e35c12707341101be62c54933ae56	m64076_200930_195351.ccs.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM20355/m64076_200930_195351.ccs.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM20355/m64076_200930_195351.ccs.fastq.gz
e15b7c734527f40fb244ca5f6b0b612c	m64076_201002_180938.ccs.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM20355/m64076_201002_180938.ccs.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM20355/m64076_201002_180938.ccs.fastq.gz
5033f0dc0319935d5e76ccefe366565f	m64076_210325_045024.hifi_reads.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM21487/m64076_210325_045024.hifi_reads.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM21487/m64076_210325_045024.hifi_reads.fastq.gz
66dc04b60575c4495cc6452c55323f69	m64076_210409_201438.hifi_reads.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM21487/m64076_210409_201438.hifi_reads.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM21487/m64076_210409_201438.hifi_reads.fastq.gz
2b8189728f1bb0c5b25fa6ed64faa2c0	m54329U_210405_202314.hifi_reads.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM21487/m54329U_210405_202314.hifi_reads.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM21487/m54329U_210405_202314.hifi_reads.fastq.gz
e34f6e67a22f7a37dfce4f9b2d08186d	m54329U_210409_201342.hifi_reads.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM21487/m54329U_210409_201342.hifi_reads.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM21487/m54329U_210409_201342.hifi_reads.fastq.gz
6e26500bfea488bab2f36000719217be	m54329U_210408_003536.hifi_reads.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM21487/m54329U_210408_003536.hifi_reads.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/GM21487/m54329U_210408_003536.hifi_reads.fastq.gz
c70cecbda926a3dffcb793eec2a8bf23	m54329U_210330_183359.hifi_reads.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/HG01352/m54329U_210330_183359.hifi_reads.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/HG01352/m54329U_210330_183359.hifi_reads.fastq.gz
82ac4858ff511df3819be1a9e87cf376	m54329U_200819_192918.ccs.fastq.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/HG01352/m54329U_200819_192918.ccs.bam	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/HG01352/m54329U_200819_192918.ccs.fastq.gz
